TEST,ANSWER,TIME
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\0.txt,5,0.13222074508666992
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\1.txt,11,0.14554595947265625
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\2.txt,8,0.11111688613891602
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\3.txt,20,0.21144437789916992
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\4.txt,2,0.11387181282043457
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\5.txt,8,0.1443614959716797
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\6.txt,-1,0.2531776428222656
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\7.txt,11,0.1569981575012207
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\8.txt,13,0.15426850318908691
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\9.txt,3,0.12255144119262695
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\10.txt,24,0.30056166648864746
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\11.txt,8,0.13801789283752441
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\12.txt,9,0.17055201530456543
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\13.txt,7,0.11608552932739258
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\14.txt,3,0.16675162315368652
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\15.txt,13,0.20748662948608398
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\16.txt,4,0.14078116416931152
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\17.txt,12,0.21093416213989258
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\18.txt,9,0.893632173538208
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\19.txt,7,0.27018046379089355
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\20.txt,5,0.15199661254882812
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\21.txt,13,0.19874930381774902
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\22.txt,6,0.13044047355651855
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\23.txt,16,0.1684877872467041
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\24.txt,8,0.1306753158569336
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\25.txt,12,0.18372869491577148
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\26.txt,2,0.16417908668518066
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\27.txt,13,0.1662311553955078
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\28.txt,6,0.12243866920471191
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\29.txt,13,0.2531290054321289
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\30.txt,2,0.13088345527648926
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\31.txt,10,0.1367044448852539
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\32.txt,12,0.17088627815246582
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\33.txt,3,0.14446377754211426
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\34.txt,17,0.22277474403381348
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\35.txt,3,0.11511683464050293
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\36.txt,2,0.11265921592712402
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\37.txt,15,0.19219088554382324
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\38.txt,13,0.1950390338897705
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\39.txt,12,0.16202068328857422
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\40.txt,12,0.18226885795593262
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\41.txt,16,0.23727130889892578
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\42.txt,8,0.14419221878051758
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\43.txt,7,0.12506818771362305
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\44.txt,14,0.17731261253356934
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\45.txt,9,0.15091466903686523
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\46.txt,10,0.13052606582641602
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\47.txt,4,0.11815905570983887
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\48.txt,8,0.13647794723510742
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\49.txt,-1,0.10842585563659668
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\50.txt,6,0.12131381034851074
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\51.txt,14,0.20200729370117188
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\52.txt,8,0.12719249725341797
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\53.txt,8,0.12522649765014648
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\54.txt,7,0.11612844467163086
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\55.txt,-1,0.1078040599822998
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\56.txt,11,0.1696796417236328
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\57.txt,7,0.13813447952270508
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\58.txt,11,0.15131354331970215
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\59.txt,18,0.18042349815368652
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\60.txt,2,0.11298680305480957
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\61.txt,16,0.21008801460266113
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\62.txt,8,0.1399705410003662
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\63.txt,4,0.11072349548339844
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\64.txt,7,0.12040185928344727
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\65.txt,9,0.12522625923156738
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\66.txt,8,0.10797619819641113
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\67.txt,1,0.1198740005493164
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\68.txt,4,0.1183478832244873
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\69.txt,6,0.1112060546875
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\70.txt,2,0.11580204963684082
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\71.txt,12,0.16202282905578613
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\72.txt,11,0.15298080444335938
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\73.txt,5,0.11348795890808105
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\74.txt,5,0.12050962448120117
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\75.txt,11,0.1431424617767334
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\76.txt,11,0.14618730545043945
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\77.txt,10,0.14737343788146973
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\78.txt,10,0.14053845405578613
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\79.txt,13,0.17042827606201172
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\80.txt,3,0.11469769477844238
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\81.txt,1,0.11647725105285645
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\82.txt,5,0.11687183380126953
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\83.txt,13,0.17553234100341797
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\84.txt,14,0.1435689926147461
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\85.txt,8,0.12388968467712402
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\86.txt,2,0.1151275634765625
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\87.txt,7,0.12841486930847168
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\88.txt,-1,0.13146471977233887
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\89.txt,10,0.13887310028076172
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\90.txt,8,0.15554070472717285
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\91.txt,2,0.12183833122253418
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\92.txt,15,0.14409208297729492
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\93.txt,3,0.10617494583129883
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\94.txt,8,0.1374518871307373
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\95.txt,10,0.1329052448272705
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\96.txt,5,0.12460041046142578
