TEST,ANSWER,TIME
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\0.txt,5,0.18799495697021484
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\1.txt,11,0.3297903537750244
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\2.txt,8,0.1398160457611084
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\3.txt,16,0.3408362865447998
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\4.txt,2,0.12378406524658203
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\5.txt,8,0.16873598098754883
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\6.txt,-1,0.37104344367980957
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\7.txt,11,0.15680861473083496
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\8.txt,11,0.38765430450439453
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\9.txt,3,0.11957836151123047
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\10.txt,24,0.24660015106201172
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\11.txt,8,0.1504361629486084
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\12.txt,9,0.1797471046447754
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\13.txt,7,0.1503005027770996
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\14.txt,3,0.11301517486572266
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\15.txt,13,0.1943953037261963
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\16.txt,4,0.2489454746246338
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\17.txt,12,0.2685542106628418
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\18.txt,9,0.17542386054992676
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\19.txt,7,0.14700818061828613
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\20.txt,5,0.13183808326721191
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\21.txt,13,0.2330188751220703
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\22.txt,6,0.15149807929992676
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\23.txt,14,0.3187739849090576
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\24.txt,8,0.13623857498168945
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\25.txt,12,0.47759056091308594
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\26.txt,2,0.21951532363891602
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\27.txt,13,0.2974693775177002
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\28.txt,6,0.15355491638183594
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\29.txt,13,0.34252452850341797
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\30.txt,2,0.18450188636779785
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\31.txt,10,0.17689967155456543
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\32.txt,12,0.23047327995300293
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\33.txt,3,0.12435793876647949
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\34.txt,17,0.3317296504974365
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\35.txt,3,0.11985635757446289
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\36.txt,2,0.11528658866882324
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\37.txt,15,0.4485316276550293
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\38.txt,13,0.3018310070037842
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\39.txt,12,0.23767495155334473
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\40.txt,12,0.2459886074066162
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\41.txt,16,0.1784381866455078
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\42.txt,8,0.2682032585144043
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\43.txt,7,0.5070381164550781
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\44.txt,14,0.400911808013916
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\45.txt,9,0.23830032348632812
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\46.txt,10,0.14243006706237793
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\47.txt,4,0.12942957878112793
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\48.txt,8,0.24378418922424316
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\49.txt,-1,0.11134123802185059
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\50.txt,6,0.1533043384552002
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\51.txt,14,0.32111358642578125
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\52.txt,8,0.17148447036743164
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\53.txt,8,0.12823224067687988
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\54.txt,7,0.13095378875732422
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\55.txt,-1,0.11945819854736328
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\56.txt,11,0.23762774467468262
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\57.txt,7,0.3154795169830322
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\58.txt,11,0.16138243675231934
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\59.txt,16,0.30687618255615234
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\60.txt,2,0.1230008602142334
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\61.txt,16,0.27587080001831055
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\62.txt,8,0.1952054500579834
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\63.txt,4,0.23171472549438477
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\64.txt,7,0.2438504695892334
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\65.txt,9,0.21282434463500977
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\66.txt,8,0.12346506118774414
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\67.txt,1,0.12004756927490234
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\68.txt,4,0.17297148704528809
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\69.txt,6,0.3658878803253174
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\70.txt,2,0.17613792419433594
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\71.txt,12,0.17903780937194824
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\72.txt,17,0.23032760620117188
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\73.txt,5,0.14919805526733398
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\74.txt,5,0.17781805992126465
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\75.txt,11,0.2384018898010254
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\76.txt,11,0.3002026081085205
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\77.txt,10,0.2774693965911865
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\78.txt,10,0.29835033416748047
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\79.txt,13,0.1948223114013672
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\80.txt,3,0.26210737228393555
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\81.txt,1,0.11167311668395996
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\82.txt,5,0.11554789543151855
